method,sample size,rho,eps,func,p* mean,p* std,NS mean,NS std,Popt mean,Popt std,truth
EG,80,5,1,naive,0.886,0.123,52.3,5.7,0.983,0.13,"0.3, 0.7"
EG,80,4,1,naive,0.878,0.097,52.1,5.2,0.99,0.1,"0.3, 0.7"
EG,80,3,1,naive,0.86,0.076,51.5,4.8,0.995,0.073,"0.3, 0.7"
TS,80,1,1,cubic,0.934,0.123,53.9,5.7,0.985,0.122,"0.3, 0.7"
TS,80,2,1,cubic,0.931,0.096,53.8,5.1,0.992,0.089,"0.3, 0.7"
TS,80,3,1,cubic,0.928,0.088,53.7,5,0.994,0.076,"0.3, 0.7"
TS,80,0.5,1,linear,0.936,0.109,53.9,5.4,0.989,0.102,"0.3, 0.7"
TS,80,1,1,linear,0.929,0.083,53.7,4.9,0.996,0.062,"0.3, 0.7"
TS,80,2,1,linear,0.919,0.074,53.4,4.8,0.998,0.04,"0.3, 0.7"
EG,80,4,1,naive,0.774,0.249,44.4,5.9,0.888,0.315,"0.4, 0.6"
EG,80,3,1,naive,0.771,0.217,44.3,5.6,0.908,0.289,"0.4, 0.6"
EG,80,5,1,naive,0.771,0.277,44.3,6.3,0.869,0.337,"0.4, 0.6"
TS,80,2,1,cubic,0.812,0.257,45,6,0.899,0.302,"0.4, 0.6"
TS,80,3,1,cubic,0.812,0.24,45,5.8,0.909,0.287,"0.4, 0.6"
TS,80,1,1,cubic,0.807,0.292,44.9,6.4,0.874,0.332,"0.4, 0.6"
TS,80,1,1,linear,0.815,0.228,45,5.7,0.921,0.269,"0.4, 0.6"
TS,80,0.5,1,linear,0.814,0.271,45,6.1,0.892,0.31,"0.4, 0.6"
TS,80,2,1,linear,0.804,0.201,44.9,5.5,0.937,0.244,"0.4, 0.6"
EG,80,3,1,naive,0.654,0.298,41.2,5.1,0.747,0.435,"0.45, 0.55"
EG,80,4,1,naive,0.65,0.329,41.2,5.2,0.726,0.446,"0.45, 0.55"
EG,80,5,1,naive,0.644,0.35,41.2,5.3,0.709,0.454,"0.45, 0.55"
TS,80,3,1,cubic,0.683,0.325,41.5,5.1,0.754,0.431,"0.45, 0.55"
TS,80,2,1,cubic,0.68,0.342,41.4,5.2,0.742,0.438,"0.45, 0.55"
TS,80,1,1,cubic,0.673,0.373,41.4,5.4,0.72,0.449,"0.45, 0.55"
TS,80,1,1,linear,0.681,0.314,41.5,5.1,0.761,0.426,"0.45, 0.55"
TS,80,0.5,1,linear,0.679,0.356,41.4,5.3,0.736,0.441,"0.45, 0.55"
TS,80,2,1,linear,0.678,0.279,41.4,5,0.78,0.414,"0.45, 0.55"
